"name";"bill"

"qwerty";1
"qwerty";10
"qwerty";15
"mgfrt";13
"tyuu";5
"yui";5
"maria";3
"yuio";9
"fds";0
"uiop";18
" -ghjk";18
"sfg";17
"tre";10
"ghjl";9
